Date,Day of Week,Time,Customers,Employees,Satisfaction,Profits,Expenses
2021-04-05,Monday,15:00,51,4,85,1076.01,20
2021-04-05,Monday,16:00,48,4,80,756.04,20
2021-04-05,Monday,17:00,37,5,49,752.05,25
2021-04-05,Monday,18:00,163,8,100,3262.87,40
2021-04-05,Monday,19:00,156,7,100,2627.72,35
2021-04-05,Monday,20:00,189,13,97,4532.13,65
2021-04-05,Monday,21:00,122,9,90,2238.03,45
2021-04-05,Monday,22:00,158,9,100,3695.12,45
2021-04-06,Tuesday,10:00,76,7,72,1817.18,35
2021-04-06,Tuesday,11:00,92,6,100,2178.78,30
2021-04-06,Tuesday,12:00,58,4,97,1323.89,20
2021-04-06,Tuesday,13:00,55,4,92,978.26,20
2021-04-06,Tuesday,14:00,40,4,67,922.67,20
2021-04-06,Tuesday,15:00,62,4,100,1498.05,20
2021-04-06,Tuesday,16:00,49,5,65,1184.13,25
2021-04-06,Tuesday,17:00,81,5,100,1475.38,25
2021-04-06,Tuesday,18:00,116,4,100,2876.91,20
2021-04-06,Tuesday,19:00,111,8,92,2397.58,40
2021-04-06,Tuesday,20:00,104,5,100,2334.99,25
2021-04-06,Tuesday,21:00,173,7,100,3890.1,35
2021-04-06,Tuesday,22:00,159,9,100,3592.29,45
2021-04-07,Wednesday,10:00,15,4,25,305.67,20
2021-04-07,Wednesday,11:00,48,5,64,903.45,25
2021-04-07,Wednesday,12:00,59,6,66,1112.94,30
2021-04-07,Wednesday,13:00,27,4,45,495.67,20
2021-04-07,Wednesday,14:00,83,6,92,1936.52,30
2021-04-07,Wednesday,15:00,64,7,61,1523.41,35
2021-04-07,Wednesday,16:00,29,4,48,616.44,20
2021-04-07,Wednesday,17:00,24,5,32,550.96,25
2021-04-07,Wednesday,18:00,139,8,100,2256.49,40
2021-04-07,Wednesday,19:00,140,9,100,3143.36,45
2021-04-07,Wednesday,20:00,175,10,100,2654.2,50
2021-04-07,Wednesday,21:00,161,7,100,3722.36,35
2021-04-07,Wednesday,22:00,152,8,100,3553.65,40
2021-04-08,Thursday,10:00,100,7,95,1536.19,35
2021-04-08,Thursday,11:00,70,6,78,1176.48,30
2021-04-08,Thursday,12:00,57,4,95,1318.93,20
2021-04-08,Thursday,13:00,47,4,78,736.36,20
2021-04-08,Thursday,14:00,99,4,100,1699.04,20
2021-04-08,Thursday,15:00,43,4,72,902.99,20
2021-04-08,Thursday,16:00,71,6,79,1455.43,30
2021-04-08,Thursday,17:00,58,6,64,1186.67,30
2021-04-08,Thursday,18:00,185,8,100,4107.39,40
2021-04-08,Thursday,19:00,169,8,100,3419.53,40
2021-04-08,Thursday,20:00,146,7,100,2310.27,35
2021-04-08,Thursday,21:00,164,7,100,2596.13,35
2021-04-08,Thursday,22:00,140,10,93,2303.21,50
2021-04-09,Friday,10:00,38,4,63,933.24,20
2021-04-09,Friday,11:00,25,4,42,540.8,20
2021-04-09,Friday,12:00,36,5,48,897.62,25
2021-04-09,Friday,13:00,11,4,18,167.43,20
2021-04-09,Friday,14:00,69,4,100,1107.3,20
2021-04-09,Friday,15:00,50,4,83,781.12,20
2021-04-09,Friday,16:00,96,8,80,2037.08,40
2021-04-09,Friday,17:00,90,6,100,1920.51,30
2021-04-09,Friday,18:00,114,9,84,2176.23,45
2021-04-09,Friday,19:00,182,11,100,3296.05,55
2021-04-09,Friday,20:00,161,12,89,3154.26,60
2021-04-09,Friday,21:00,133,8,100,2677.17,40
2021-04-09,Friday,22:00,154,7,100,2894.86,35
2021-04-10,Saturday,10:00,82,4,100,1401.96,20
2021-04-10,Saturday,11:00,99,4,100,1987.4,20
2021-04-10,Saturday,12:00,18,4,30,358.88,20
2021-04-10,Saturday,13:00,20,4,33,428.97,20
2021-04-10,Saturday,14:00,57,4,95,1366.49,20
2021-04-10,Saturday,15:00,54,6,60,910.84,30
2021-04-10,Saturday,16:00,72,6,80,1213.5,30
2021-04-10,Saturday,17:00,73,7,70,1206.57,35
2021-04-10,Saturday,18:00,180,9,100,4131.7,45
2021-04-10,Saturday,19:00,125,10,83,2637.97,50
2021-04-10,Saturday,20:00,152,8,100,2795.67,40
2021-04-10,Saturday,21:00,149,7,100,3242.71,35
2021-04-10,Saturday,22:00,188,13,96,4387.94,65
2021-04-11,Sunday,10:00,78,4,100,1291.13,20
2021-04-11,Sunday,11:00,35,4,58,794.95,20
2021-04-11,Sunday,12:00,57,5,76,1160.26,25
2021-04-11,Sunday,13:00,61,6,68,1002.32,30
2021-04-11,Sunday,14:00,75,4,100,1550.06,20
2021-04-11,Sunday,15:00,25,4,42,406.72,20
2021-04-11,Sunday,16:00,84,7,80,1584.33,35
2021-04-11,Sunday,17:00,65,4,100,1539.27,20
2021-04-11,Sunday,18:00,159,9,100,2565.31,45
2021-04-11,Sunday,19:00,112,4,100,1946.54,20
2021-04-11,Sunday,20:00,174,11,100,4192.57,55
2021-04-11,Sunday,21:00,184,13,94,2793.87,65
2021-04-11,Sunday,22:00,124,7,100,2392.66,35
2021-04-12,Monday,10:00,18,4,30,434.57,20
2021-04-12,Monday,11:00,33,4,55,683.41,20
2021-04-12,Monday,12:00,85,5,100,1631.1,25
2021-04-12,Monday,13:00,66,4,100,1040.6,20
2021-04-12,Monday,14:00,16,4,27,358.33,20
2021-04-12,Monday,15:00,69,6,77,1053.53,30
2021-04-12,Monday,16:00,90,6,100,2037.28,30
2021-04-12,Monday,17:00,52,4,87,925.74,20
2021-04-12,Monday,18:00,118,5,100,2711.84,25
2021-04-12,Monday,19:00,121,8,100,2535.04,40
2021-04-12,Monday,20:00,150,11,91,3270.46,55
2021-04-12,Monday,21:00,164,11,99,2469.46,55
2021-04-12,Monday,22:00,113,8,94,1925.79,40
2021-04-13,Tuesday,10:00,40,4,67,847.25,20
2021-04-13,Tuesday,11:00,15,4,25,283.96,20
2021-04-13,Tuesday,12:00,64,4,100,1145.24,20
2021-04-13,Tuesday,13:00,99,7,94,1621.77,35
2021-04-13,Tuesday,14:00,63,6,70,1267.91,30
2021-04-13,Tuesday,15:00,83,4,100,1421,20
2021-04-13,Tuesday,16:00,89,6,99,2186.72,30
2021-04-13,Tuesday,17:00,73,6,81,1559.04,30
2021-04-13,Tuesday,18:00,131,7,100,2528.13,35
2021-04-13,Tuesday,19:00,153,8,100,3446.29,40
2021-04-13,Tuesday,20:00,133,5,100,2854.78,25
2021-04-13,Tuesday,21:00,124,9,92,2553.33,45
2021-04-13,Tuesday,22:00,120,8,100,2484.14,40
2021-04-14,Wednesday,10:00,33,4,55,631.72,20
2021-04-14,Wednesday,11:00,72,7,69,1149.84,35
2021-04-14,Wednesday,12:00,50,6,56,881.43,30
2021-04-14,Wednesday,13:00,39,4,65,618.53,20
2021-04-14,Wednesday,14:00,10,4,17,206.67,20
2021-04-14,Wednesday,15:00,45,4,75,945.96,20
2021-04-14,Wednesday,16:00,11,4,18,203.52,20
2021-04-14,Wednesday,17:00,93,4,100,2071.15,20
2021-04-14,Wednesday,18:00,158,9,100,3918.83,45
2021-04-14,Wednesday,19:00,114,6,100,2068.1,30
2021-04-14,Wednesday,20:00,159,10,100,3941.5,50
2021-04-14,Wednesday,21:00,143,8,100,2958.5,40
2021-04-14,Wednesday,22:00,148,11,90,2423.78,55
2021-04-15,Thursday,10:00,50,4,83,1227.73,20
2021-04-15,Thursday,11:00,50,4,83,816.4,20
2021-04-15,Thursday,12:00,73,4,100,1546.85,20
2021-04-15,Thursday,13:00,19,4,32,383.16,20
2021-04-15,Thursday,14:00,55,4,92,1142.89,20
2021-04-15,Thursday,15:00,60,4,100,1100.79,20
2021-04-15,Thursday,16:00,54,4,90,978.31,20
2021-04-15,Thursday,17:00,31,4,52,727.2,20
2021-04-15,Thursday,18:00,181,8,100,2852.02,40
2021-04-15,Thursday,19:00,168,11,100,2802.17,55
2021-04-15,Thursday,20:00,144,10,96,2483.24,50
2021-04-15,Thursday,21:00,144,8,100,2868.27,40
2021-04-15,Thursday,22:00,189,11,100,3698.76,55
2021-04-16,Friday,10:00,10,4,17,203.44,20
2021-04-16,Friday,11:00,87,4,100,1973.72,20
2021-04-16,Friday,12:00,20,4,33,310.03,20
2021-04-16,Friday,13:00,72,6,80,1527.92,30
2021-04-16,Friday,14:00,57,4,95,1326.89,20
2021-04-16,Friday,15:00,91,6,100,1971.92,30
2021-04-16,Friday,16:00,75,4,100,1131.45,20
2021-04-16,Friday,17:00,17,4,28,342.13,20
2021-04-16,Friday,18:00,118,8,98,2494.42,40
2021-04-16,Friday,19:00,174,12,97,3814.96,60
2021-04-16,Friday,20:00,120,9,89,2597.51,45
2021-04-16,Friday,21:00,168,10,100,3196.56,50
2021-04-16,Friday,22:00,125,6,100,2341.07,30
2021-04-17,Saturday,10:00,47,4,78,1171.68,20
2021-04-17,Saturday,11:00,58,6,64,950.5,30
2021-04-17,Saturday,12:00,22,4,37,411.93,20
2021-04-17,Saturday,13:00,55,4,92,1072.83,20
2021-04-17,Saturday,14:00,76,7,72,1200.24,35
2021-04-17,Saturday,15:00,12,4,20,276.98,20
2021-04-17,Saturday,16:00,76,4,100,1721.43,20
2021-04-17,Saturday,17:00,75,6,83,1425.98,30
2021-04-17,Saturday,18:00,138,9,100,2909.93,45
2021-04-17,Saturday,19:00,159,11,96,2998.25,55
2021-04-17,Saturday,20:00,132,9,98,2680.03,45
2021-04-17,Saturday,21:00,114,9,84,2366.03,45
2021-04-17,Saturday,22:00,184,11,100,4391.66,55
2021-04-18,Sunday,10:00,24,4,40,389.89,20
2021-04-18,Sunday,11:00,52,5,69,883.29,25
2021-04-18,Sunday,12:00,93,4,100,1853.97,20
2021-04-18,Sunday,13:00,76,4,100,1493.82,20
2021-04-18,Sunday,14:00,23,4,38,428.62,20
2021-04-18,Sunday,15:00,39,4,65,594.3,20
2021-04-18,Sunday,16:00,88,4,100,1395.24,20
2021-04-18,Sunday,17:00,38,5,51,755.66,25
2021-04-18,Sunday,18:00,177,10,100,3850.73,50
2021-04-18,Sunday,19:00,187,12,100,3203.68,60
2021-04-18,Sunday,20:00,149,8,100,3676.8,40
2021-04-18,Sunday,21:00,166,10,100,3164.44,50
2021-04-18,Sunday,22:00,132,8,100,2199.55,40
2021-04-19,Monday,10:00,74,4,100,1548.29,20
2021-04-19,Monday,11:00,70,7,67,1246.54,35
2021-04-19,Monday,12:00,26,4,43,444.31,20
2021-04-19,Monday,13:00,63,4,100,1364.26,20
2021-04-19,Monday,14:00,10,4,17,237.9,20
2021-04-19,Monday,15:00,16,4,27,392,20
2021-04-19,Monday,16:00,42,4,70,996.11,20
2021-04-19,Monday,17:00,28,5,37,436.93,25
2021-04-19,Monday,18:00,156,8,100,2746.45,40
2021-04-19,Monday,19:00,135,10,90,2962.95,50
2021-04-19,Monday,20:00,172,8,100,4091.49,40
2021-04-19,Monday,21:00,143,10,95,2619.73,50
2021-04-19,Monday,22:00,155,9,100,3618.25,45
2021-04-20,Tuesday,10:00,50,6,56,819.83,30
2021-04-20,Tuesday,11:00,98,6,100,2193.59,30
2021-04-20,Tuesday,12:00,33,4,55,667.52,20
2021-04-20,Tuesday,13:00,14,4,23,230.87,20
2021-04-20,Tuesday,14:00,98,7,93,2310.98,35
2021-04-20,Tuesday,15:00,40,4,67,957.9,20
2021-04-20,Tuesday,16:00,21,4,35,371.11,20
2021-04-20,Tuesday,17:00,83,4,100,1844.86,20
2021-04-20,Tuesday,18:00,157,10,100,3681.78,50
2021-04-20,Tuesday,19:00,182,12,100,3857.56,60
2021-04-20,Tuesday,20:00,129,6,100,2243.24,30
2021-04-20,Tuesday,21:00,104,9,77,2594.8,45
2021-04-20,Tuesday,22:00,139,8,100,2427.99,40
2021-04-21,Wednesday,10:00,20,4,33,417.97,20
2021-04-21,Wednesday,11:00,77,6,86,1546.78,30
2021-04-21,Wednesday,12:00,89,6,99,1526.71,30
2021-04-21,Wednesday,13:00,68,5,91,1640.8,25
2021-04-21,Wednesday,14:00,67,5,89,1144.29,25
2021-04-21,Wednesday,15:00,87,6,97,1489.51,30
2021-04-21,Wednesday,16:00,87,4,100,2009.79,20
2021-04-21,Wednesday,17:00,34,4,57,595.67,20
2021-04-21,Wednesday,18:00,180,8,100,4209.92,40
2021-04-21,Wednesday,19:00,188,12,100,4525.81,60
2021-04-21,Wednesday,20:00,142,9,100,2670.21,45
2021-04-21,Wednesday,21:00,108,9,80,2578.09,45
2021-04-21,Wednesday,22:00,108,7,100,2248.11,35
2021-04-22,Thursday,10:00,74,5,99,1656.03,25
2021-04-22,Thursday,11:00,84,4,100,1468.35,20
2021-04-22,Thursday,12:00,29,4,48,551.65,20
2021-04-22,Thursday,13:00,30,4,50,719.68,20
2021-04-22,Thursday,14:00,61,6,68,1243.31,30
2021-04-22,Thursday,15:00,42,4,70,934.33,20
2021-04-22,Thursday,16:00,43,4,72,754.7,20
2021-04-22,Thursday,17:00,96,4,100,1921.63,20
2021-04-22,Thursday,18:00,154,6,100,3283.1,30
2021-04-22,Thursday,19:00,148,8,100,3486.89,40
2021-04-22,Thursday,20:00,151,6,100,3379.17,30
2021-04-22,Thursday,21:00,123,7,100,2401.12,35
2021-04-22,Thursday,22:00,142,6,100,2406.93,30
2021-04-23,Friday,10:00,28,4,47,689.94,20
2021-04-23,Friday,11:00,61,7,58,1216.71,35
2021-04-23,Friday,12:00,67,4,100,1259.91,20
2021-04-23,Friday,13:00,25,4,42,538.62,20
2021-04-23,Friday,14:00,12,4,20,256.07,20
2021-04-23,Friday,15:00,33,4,55,529.98,20
2021-04-23,Friday,16:00,14,4,23,348.69,20
2021-04-23,Friday,17:00,14,4,23,224.75,20
2021-04-23,Friday,18:00,115,6,100,2261.61,30
2021-04-23,Friday,19:00,150,6,100,2407.43,30
2021-04-23,Friday,20:00,116,4,100,2053.68,20
2021-04-23,Friday,21:00,185,9,100,4316.99,45
2021-04-23,Friday,22:00,145,11,88,2487.99,55
2021-04-24,Saturday,10:00,73,5,97,1239.58,25
2021-04-24,Saturday,11:00,12,4,20,189.4,20
2021-04-24,Saturday,12:00,74,4,100,1216.04,20
2021-04-24,Saturday,13:00,25,4,42,483.17,20
2021-04-24,Saturday,14:00,50,4,83,952.42,20
2021-04-24,Saturday,15:00,95,6,100,1790.48,30
2021-04-24,Saturday,16:00,92,8,77,2075.66,40
2021-04-24,Saturday,17:00,30,4,50,741.64,20
2021-04-24,Saturday,18:00,106,7,100,1913.62,35
2021-04-24,Saturday,19:00,185,10,100,3302.71,50
2021-04-24,Saturday,20:00,106,4,100,2475.84,20
2021-04-24,Saturday,21:00,183,12,100,3471.79,60
2021-04-24,Saturday,22:00,120,10,80,2850.53,50
2021-04-25,Sunday,10:00,95,4,100,1746.72,20
2021-04-25,Sunday,11:00,51,4,85,1066.98,20
2021-04-25,Sunday,12:00,85,6,94,1521.34,30
2021-04-25,Sunday,13:00,43,4,72,806,20
2021-04-25,Sunday,14:00,30,4,50,635.04,20
2021-04-25,Sunday,15:00,21,4,35,373.25,20
2021-04-25,Sunday,16:00,20,4,33,313.3,20
2021-04-25,Sunday,17:00,78,4,100,1356.71,20
2021-04-25,Sunday,18:00,117,9,87,2465.27,45
2021-04-25,Sunday,19:00,115,6,100,2563.82,30
2021-04-25,Sunday,20:00,152,11,92,3783.99,55
2021-04-25,Sunday,21:00,187,8,100,3433.48,40
2021-04-25,Sunday,22:00,134,9,99,2898.16,45
2021-04-26,Monday,10:00,34,4,57,707.05,20
2021-04-26,Monday,11:00,45,4,75,865.42,20
2021-04-26,Monday,12:00,86,4,100,1911.94,20
2021-04-26,Monday,13:00,87,4,100,1956.52,20
2021-04-26,Monday,14:00,75,4,100,1509.32,20
2021-04-26,Monday,15:00,78,4,100,1841.47,20
2021-04-26,Monday,16:00,41,5,55,993.25,25
2021-04-26,Monday,17:00,13,4,22,273.88,20
2021-04-26,Monday,18:00,144,6,100,3536.59,30
2021-04-26,Monday,19:00,133,9,99,2133.62,45
2021-04-26,Monday,20:00,109,6,100,1978.11,30
2021-04-26,Monday,21:00,139,6,100,2923.62,30
2021-04-26,Monday,22:00,155,8,100,3475.21,40
2021-04-27,Tuesday,10:00,44,4,73,861.22,20
2021-04-27,Tuesday,11:00,50,6,56,1087.82,30
2021-04-27,Tuesday,12:00,65,5,87,1008.54,25
2021-04-27,Tuesday,13:00,44,5,59,688.96,25
2021-04-27,Tuesday,14:00,83,7,79,1984.33,35
2021-04-27,Tuesday,15:00,75,4,100,1173.58,20
2021-04-27,Tuesday,16:00,58,5,77,924.29,25
2021-04-27,Tuesday,17:00,36,4,60,882.45,20
2021-04-27,Tuesday,18:00,142,6,100,2782.97,30
2021-04-27,Tuesday,19:00,119,4,100,2614.16,20
2021-04-27,Tuesday,20:00,142,7,100,3104.61,35
2021-04-27,Tuesday,21:00,186,12,100,4298.74,60
2021-04-27,Tuesday,22:00,179,9,100,3594,45
2021-04-28,Wednesday,10:00,91,8,76,1482.25,40
2021-04-28,Wednesday,11:00,49,4,82,858.36,20
2021-04-28,Wednesday,12:00,56,6,62,1183.9,30
2021-04-28,Wednesday,13:00,72,4,100,1217.32,20
2021-04-28,Wednesday,14:00,61,4,100,1148.53,20
2021-04-28,Wednesday,15:00,27,4,45,651.69,20
2021-04-28,Wednesday,16:00,14,4,23,318.17,20
2021-04-28,Wednesday,17:00,82,4,100,1251.17,20
2021-04-28,Wednesday,18:00,139,9,100,3284.05,45
2021-04-28,Wednesday,19:00,168,11,100,3641.51,55
2021-04-28,Wednesday,20:00,115,5,100,2611.48,25
2021-04-28,Wednesday,21:00,117,9,87,2026.7,45
2021-04-28,Wednesday,22:00,150,10,100,3387.43,50
2021-04-29,Thursday,10:00,44,4,73,719.05,20
2021-04-29,Thursday,11:00,83,7,79,1502.22,35
2021-04-29,Thursday,12:00,87,7,83,1721.43,35
2021-04-29,Thursday,13:00,90,4,100,1797.18,20
2021-04-29,Thursday,14:00,74,7,70,1125.48,35
2021-04-29,Thursday,15:00,47,4,78,1031.87,20
2021-04-29,Thursday,16:00,26,4,43,583.16,20
2021-04-29,Thursday,17:00,64,7,61,1141.6,35
2021-04-29,Thursday,18:00,141,6,100,3309.9,30
2021-04-29,Thursday,19:00,135,10,90,3080.49,50
2021-04-29,Thursday,20:00,128,7,100,2372.65,35
2021-04-29,Thursday,21:00,132,6,100,2530.06,30
2021-04-29,Thursday,22:00,134,10,89,3153.02,50
2021-04-30,Friday,10:00,41,4,68,994.05,20
2021-04-30,Friday,11:00,59,5,79,1043.1,25
2021-04-30,Friday,12:00,74,5,99,1537.78,25
2021-04-30,Friday,13:00,42,5,56,845.95,25
2021-04-30,Friday,14:00,52,5,69,1048.44,25
2021-04-30,Friday,15:00,20,4,33,392.89,20
2021-04-30,Friday,16:00,93,8,78,1869.48,40
2021-04-30,Friday,17:00,11,4,18,196.82,20
2021-04-30,Friday,18:00,136,10,91,2098.58,50
2021-04-30,Friday,19:00,153,10,100,2678.57,50
2021-04-30,Friday,20:00,137,7,100,2663.32,35
2021-04-30,Friday,21:00,116,9,86,2670.96,45
2021-04-30,Friday,22:00,140,9,100,3119.03,45
2021-05-01,Saturday,10:00,33,4,55,590.01,20
2021-05-01,Saturday,11:00,48,4,80,1185.67,20
2021-05-01,Saturday,12:00,42,4,70,640.06,20
2021-05-01,Saturday,13:00,95,7,90,1977.25,35
2021-05-01,Saturday,14:00,99,6,100,2163.69,30
2021-05-01,Saturday,15:00,99,7,94,2232.48,35
2021-05-01,Saturday,16:00,74,5,99,1387.73,25
2021-05-01,Saturday,17:00,57,4,95,947.77,20
2021-05-01,Saturday,18:00,147,8,100,3445.95,40
2021-05-01,Saturday,19:00,144,9,100,3580.28,45
2021-05-01,Saturday,20:00,119,9,88,1821.29,45
2021-05-01,Saturday,21:00,114,4,100,2630.68,20
2021-05-01,Saturday,22:00,124,9,92,2233.28,45
2021-05-02,Sunday,10:00,16,4,27,298.96,20
2021-05-02,Sunday,11:00,70,5,93,1388.79,25
2021-05-02,Sunday,12:00,82,8,68,1841.99,40
2021-05-02,Sunday,13:00,27,4,45,421.51,20
2021-05-02,Sunday,14:00,51,4,85,1114.69,20
2021-05-02,Sunday,15:00,52,4,87,836.74,20
2021-05-02,Sunday,16:00,71,5,95,1305.26,25
2021-05-02,Sunday,17:00,45,6,50,715.19,30
2021-05-02,Sunday,18:00,176,7,100,3902.11,35
2021-05-02,Sunday,19:00,189,11,100,3099.09,55
2021-05-02,Sunday,20:00,159,10,100,2747.38,50
2021-05-02,Sunday,21:00,183,11,100,3242.82,55
2021-05-02,Sunday,22:00,139,9,100,2354.21,45
2021-05-03,Monday,10:00,44,4,73,773.9,20
2021-05-03,Monday,11:00,25,4,42,491.76,20
2021-05-03,Monday,12:00,70,4,100,1592.31,20
2021-05-03,Monday,13:00,72,4,100,1749.41,20
2021-05-03,Monday,14:00,84,7,80,1433.58,35
2021-05-03,Monday,15:00,73,6,81,1102.12,30
2021-05-03,Monday,16:00,65,4,100,1049.79,20
2021-05-03,Monday,17:00,50,4,83,1198.79,20
2021-05-03,Monday,18:00,159,6,100,3703.99,30
2021-05-03,Monday,19:00,170,11,100,3403.77,55
2021-05-03,Monday,20:00,174,12,97,3051.04,60
2021-05-03,Monday,21:00,110,8,92,2126.56,40
2021-05-03,Monday,22:00,176,11,100,3053.87,55
2021-05-04,Tuesday,10:00,50,6,56,1124.42,30
2021-05-04,Tuesday,11:00,76,6,84,1840.97,30
2021-05-04,Tuesday,12:00,45,6,50,864.9,30
2021-05-04,Tuesday,13:00,33,4,55,512.46,20
2021-05-04,Tuesday,14:00,11,4,18,271.43,20
2021-05-04,Tuesday,15:00,49,4,82,898.3,20
2021-05-04,Tuesday,16:00,75,4,100,1332.23,20
2021-05-04,Tuesday,17:00,85,6,94,2114.01,30
2021-05-04,Tuesday,18:00,126,9,93,2842.94,45
2021-05-04,Tuesday,19:00,116,4,100,1977.17,20
2021-05-04,Tuesday,20:00,183,10,100,2950.59,50
2021-05-04,Tuesday,21:00,187,8,100,3059.82,40
2021-05-04,Tuesday,22:00,106,9,79,1721.86,45
2021-05-05,Wednesday,10:00,66,7,63,1538.39,35
2021-05-05,Wednesday,11:00,41,4,68,765.12,20
2021-05-05,Wednesday,12:00,48,4,80,728.84,20
2021-05-05,Wednesday,13:00,77,4,100,1840.85,20
2021-05-05,Wednesday,14:00,33,4,55,662.83,20
2021-05-05,Wednesday,15:00,75,4,100,1547.95,20
2021-05-05,Wednesday,16:00,62,4,100,1281.28,20
2021-05-05,Wednesday,17:00,22,4,37,470.53,20
2021-05-05,Wednesday,18:00,145,7,100,3037.54,35
2021-05-05,Wednesday,19:00,153,10,100,2586.87,50
2021-05-05,Wednesday,20:00,180,9,100,3476.35,45
2021-05-05,Wednesday,21:00,118,4,100,2697.13,20
2021-05-05,Wednesday,22:00,141,9,100,2845.66,45
2021-05-06,Thursday,10:00,12,4,20,225.97,20
2021-05-06,Thursday,11:00,53,4,88,886.86,20
2021-05-06,Thursday,12:00,36,4,60,825.01,20
2021-05-06,Thursday,13:00,87,4,100,1721.67,20
2021-05-06,Thursday,14:00,76,5,100,1249.85,25
2021-05-06,Thursday,15:00,26,4,43,615.83,20
2021-05-06,Thursday,16:00,95,4,100,1724.6,20
2021-05-06,Thursday,17:00,14,4,23,296.24,20
2021-05-06,Thursday,18:00,181,9,100,3236.77,45
2021-05-06,Thursday,19:00,131,5,100,2991.25,25
2021-05-06,Thursday,20:00,102,7,97,1984.94,35
2021-05-06,Thursday,21:00,120,9,89,1982.76,45
2021-05-06,Thursday,22:00,184,12,100,3135.95,60
2021-05-07,Friday,10:00,70,4,100,1518.13,20
2021-05-07,Friday,11:00,91,4,100,2121.76,20
2021-05-07,Friday,12:00,62,5,83,1541.67,25
2021-05-07,Friday,13:00,92,5,100,1712.53,25
